"question_date","num_questions_with_en_response"
"2020-03-14","4433"
"2020-03-15","4352"
"2020-03-16","4381"
"2020-03-17","6746"
"2020-03-18","4643"
"2020-03-19","4986"
"2020-03-20","6165"
"2020-03-21","5872"
"2020-03-22","5725"
"2020-03-23","5083"
"2020-03-24","6261"
"2020-03-25","6220"
"2020-03-26","10428"
"2020-03-27","13466"
"2020-03-28","10554"
"2020-03-29","10448"
"2020-03-30","9019"
"2020-03-31","8239"
"2020-04-01","26228"
"2020-04-02","22937"
"2020-04-03","17479"
"2020-04-04","15595"
"2020-04-05","14521"
"2020-04-06","11697"
"2020-04-07","10136"
"2020-04-08","9036"
"2020-04-09","11696"
"2020-04-10","13012"
"2020-04-11","12941"
"2020-04-12","10623"
"2020-04-13","11293"
"2020-04-14","11521"
"2020-04-15","11408"
"2020-04-16","13976"
"2020-04-17","14606"
"2020-04-18","13918"
"2020-04-19","12071"
"2020-04-20","12948"
"2020-04-21","11489"
"2020-04-22","12428"
"2020-04-23","12997"
"2020-04-24","13731"
"2020-04-25","12484"
"2020-04-26","12317"
"2020-04-27","11790"
"2020-04-28","18784"
"2020-04-29","15676"
"2020-04-30","11663"
"2020-05-01","10732"
"2020-05-02","11194"
"2020-05-03","9634"
"2020-05-04","7866"
"2020-05-05","8649"
"2020-05-06","8734"
"2020-05-07","8289"
"2020-05-08","8088"
"2020-05-09","7798"
"2020-05-10","7880"
"2020-05-11","6726"
"2020-05-12","6542"
"2020-05-13","6398"
"2020-05-14","8712"
"2020-05-15","6505"
"2020-05-16","7401"
"2020-05-17","7953"
"2020-05-18","6794"
"2020-05-19","5699"
"2020-05-20","7045"
"2020-05-21","7441"
"2020-05-22","6659"
"2020-05-23","5321"
"2020-05-24","6741"
"2020-05-25","6721"
"2020-05-26","7727"
"2020-05-27","6243"
"2020-05-28","6588"
"2020-05-29","6042"
"2020-05-30","7653"
"2020-05-31","5593"
"2020-06-01","4827"
"2020-06-02","4947"
"2020-06-03","5453"
"2020-06-04","6018"
"2020-06-05","3543"
"2020-06-06","2758"
"2020-06-07","4143"
"2020-06-08","5166"
"2020-06-09","6012"
"2020-06-10","6695"
"2020-06-11","6436"
"2020-06-12","5547"
"2020-06-13","6207"
"2020-06-14","6288"
"2020-06-15","6346"
"2020-06-16","6373"
"2020-06-17","5598"
"2020-06-18","5907"
"2020-06-19","7428"
"2020-06-20","7812"
"2020-06-21","8968"
"2020-06-22","8448"
"2020-06-23","10813"
"2020-06-24","9724"
"2020-06-25","9927"
"2020-06-26","9069"
"2020-06-27","8768"
"2020-06-28","8128"
"2020-06-29","8715"
"2020-06-30","5199"
"2020-07-01","8609"
"2020-07-02","9984"
"2020-07-03","9384"
"2020-07-04","7262"
"2020-07-05","7854"
"2020-07-06","7999"
"2020-07-07","7861"
"2020-07-08","7801"
"2020-07-09","6924"
"2020-07-10","7740"
"2020-07-11","7217"
"2020-07-12","7970"
"2020-07-13","7667"
"2020-07-14","9481"
"2020-07-15","8393"
"2020-07-16","10696"
"2020-07-17","11160"
"2020-07-18","5787"
"2020-07-19","8339"
"2020-07-20","7908"
"2020-07-21","9589"
"2020-07-22","7026"
"2020-07-23","10523"
"2020-07-24","9489"
"2020-07-25","7946"
"2020-07-26","7128"
"2020-07-27","6994"
"2020-07-28","7243"
"2020-07-29","7016"
"2020-07-30","8431"
"2020-07-31","8535"
"2020-08-01","6302"
"2020-08-02","7752"
"2020-08-03","6955"
"2020-08-04","6109"
"2020-08-05","6904"
"2020-08-06","7481"
"2020-08-07","6341"
"2020-08-08","5767"
"2020-08-09","5447"
"2020-08-10","5172"
"2020-08-11","6368"
"2020-08-12","6488"
"2020-08-13","9663"
"2020-08-14","7203"
"2020-08-15","5855"
"2020-08-16","5063"
"2020-08-17","4806"
"2020-08-18","5039"
"2020-08-19","4034"
"2020-08-20","11955"
"2020-08-21","7008"
"2020-08-22","7295"
"2020-08-23","6190"
"2020-08-24","6372"
"2020-08-25","7128"
"2020-08-26","7856"
"2020-08-27","10461"
"2020-08-28","8561"
"2020-08-29","8482"
"2020-08-30","6811"
"2020-08-31","8002"
"2020-09-01","6297"
"2020-09-02","6345"
"2020-09-03","6204"
"2020-09-04","4032"
"2020-09-05","4323"
"2020-09-06","5682"
"2020-09-07","5247"
"2020-09-08","5784"
"2020-09-09","6162"
"2020-09-10","6959"
"2020-09-11","5380"
"2020-09-12","5479"
"2020-09-13","5320"
"2020-09-14","5204"
"2020-09-15","5742"
"2020-09-16","5302"
"2020-09-17","9659"
"2020-09-18","6394"
"2020-09-19","5698"
"2020-09-20","6093"
"2020-09-21","7558"
"2020-09-22","6002"
"2020-09-23","7610"
"2020-09-24","13298"
"2020-09-25","11148"
"2020-09-26","8277"
"2020-09-27","7895"
"2020-09-28","8520"
"2020-09-29","23213"
"2020-09-30","10591"
"2020-10-01","12011"
"2020-10-02","8229"
"2020-10-03","6885"
"2020-10-04","5269"
"2020-10-05","5526"
"2020-10-06","6244"
